eval_id,x,hub,f1,f2,f3,g1,g2,feasible
32,"[np.float64(0.8827535612958681), np.float64(0.5618889960245675), np.float64(0.9244529781497786), np.float64(0.05478953396800346), np.float64(0.8929034742149677), np.float64(0.461904012674792), np.float64(0.07761667129692928), np.float64(0.894418494807833), np.float64(0.3514911145265569), np.float64(0.5866398392914269)]","[0.2847061000604977, 1.2252772348542273]",-45.910213470458984,1.0,3719.5282054464224,43.421917534309074,0.0,0
33,"[np.float64(0.5444618951846689), np.float64(0.26718469116517973), np.float64(0.8807389678583045), np.float64(0.7443155268923154), np.float64(0.46192160344674327), np.float64(0.3036169314527529), np.float64(0.8851265554500901), np.float64(0.13764199567402158), np.float64(0.6990966888588673), np.float64(0.3975088220024602)]","[0.6787100568610784, 1.0166286213027265]",-34.042877197265625,0.162,2782.38097700977,43.64483913675511,0.0,0
34,"[np.float64(0.43173299469882775), np.float64(0.4340139705353385), np.float64(0.5563822187438876), np.float64(0.7260025222504382), np.float64(0.7995120725748841), np.float64(0.19244940411694578), np.float64(0.06709562178443895), np.float64(0.08847289272101), np.float64(0.39179460837642965), np.float64(0.10356728322190056)]","[0.12082182149709664, 1.4058815123099957]",-13.739645957946777,0.03,3285.944064025828,44.96627177390951,0.0,0
35,"[np.float64(0.6575978871871808), np.float64(0.4893317912796302), np.float64(0.4168556579356446), np.float64(0.6588672320408605), np.float64(0.9332577139513735), np.float64(0.1427164803115275), np.float64(0.06774882641023494), np.float64(0.1623406733602244), np.float64(0.6386067407551226), np.float64(0.6531862784698638)]","[0.6710867904552449, 1.0487740481126815]",-30.93891143798828,0.034,2473.9669358948217,53.39288219663723,0.0,0
36,"[np.float64(0.12499955865727308), np.float64(0.7854702016115908), np.float64(0.4115541827996497), np.float64(0.70006605596892), np.float64(0.8122050151262458), np.float64(0.14566874185476875), np.float64(0.3015314021630472), np.float64(0.4100234308800571), np.float64(0.47233225860496875), np.float64(0.4959391441876757)]","[0.6268693741886016, 1.0260262331786394]",-39.40675735473633,0.644,2581.8112181704896,61.00720955656993,0.0,0
37,"[np.float64(0.4331683654633044), np.float64(0.4072766520839435), np.float64(0.050801192381056404), np.float64(0.8284219032180935), np.float64(0.6707334455734223), np.float64(0.3014797552348397), np.float64(0.19529924462823633), np.float64(0.2345415037686902), np.float64(0.18523806835564982), np.float64(0.916600166351273)]","[0.7289671978318901, 1.0775394349453076]",-35.585487365722656,1.0,2850.746623541398,69.84894270932887,0.0,0
38,"[np.float64(0.5771775044961992), np.float64(0.5193842211443356), np.float64(0.49995502241119394), np.float64(0.9047040725533528), np.float64(0.05873521751558297), np.float64(0.4162706429924663), np.float64(0.32654466381127), np.float64(0.09344593349461805), np.float64(0.9897361675845034), np.float64(0.3582312185913814)]","[0.16519817849612406, 1.3738856617154276]",-44.68206787109375,1.0,3826.810232413969,74.12217734375517,0.0,0
39,"[np.float64(0.8601914027908943), np.float64(0.2084726977879202), np.float64(0.06853897181242108), np.float64(0.867626714821944), np.float64(0.7618227765790141), np.float64(0.45626972969776824), np.float64(0.22437203715511944), np.float64(0.3254021317503606), np.float64(0.679700535750702), np.float64(0.6813597714281255)]","[0.1346573339323464, 1.3822718441724227]",-29.982162475585938,1.0,3557.0497994741677,75.64018419295249,0.0,0
40,"[np.float64(0.0043001907504852666), np.float64(0.4038284511492043), np.float64(0.8276226232184107), np.float64(0.25882907767580354), np.float64(0.012996611642042799), np.float64(0.3953518057604567), np.float64(0.6710113104026503), np.float64(0.8848800971002195), np.float64(0.8398657742651049), np.float64(0.4965961443363097)]","[0.19305252710204918, 1.293728501037669]",-28.295804977416992,1.0,2799.486395175976,82.63978797527867,0.0,0
41,"[np.float64(0.5146345509864684), np.float64(0.523665362712431), np.float64(0.807371768156787), np.float64(0.8096182558531588), np.float64(0.6230074639391648), np.float64(0.35754266000513846), np.float64(0.5402158483968539), np.float64(0.4042686263824271), np.float64(0.31490733645323854), np.float64(0.07352333795544808)]","[0.2553795912850798, 1.3155961273676091]",-22.828033447265625,0.01,2821.9788725341905,103.01895128126193,0.0,0
42,"[np.float64(0.28353426632010625), np.float64(0.6181307496852578), np.float64(0.21800593004626811), np.float64(0.054731143300722596), np.float64(0.07482644255422188), np.float64(0.8310576876132559), np.float64(0.6052685945074544), np.float64(0.25396254580418), np.float64(0.662682068619064), np.float64(0.7401312499629299)]","[0.12544147718602344, 1.3981236128673569]",-25.698808670043945,1.0,2900.19980293184,118.64511945326655,0.0,0
43,"[np.float64(0.3529877524013183), np.float64(0.21057291294289393), np.float64(0.6270089345489067), np.float64(0.6141375871304838), np.float64(0.7654714235548213), np.float64(0.4750931955036134), np.float64(0.31529477830143315), np.float64(0.32612314404931364), np.float64(0.25720319670898906), np.float64(0.4319268431998915)]","[0.7285893675844088, 1.1119203769963277]",-22.54360580444336,0.271,2418.8274948275193,135.14856995079532,0.0,0
44,"[np.float64(0.6010833036283515), np.float64(0.6003058360303222), np.float64(0.411949607839724), np.float64(0.4483366116063272), np.float64(0.9263936419347213), np.float64(0.24412610048949546), np.float64(0.4903092182377534), np.float64(0.6175502017669623), np.float64(0.6586459827521409), np.float64(0.5543481357651974)]","[0.026476514678878738, 1.3396354684922192]",-26.354541778564453,0.036,2768.716020339814,160.51811046489564,0.0,0
45,"[np.float64(0.2759916762592879), np.float64(0.4559530832382138), np.float64(0.2696269573248512), np.float64(0.2742956410287274), np.float64(0.9474076815242122), np.float64(0.27471950581594307), np.float64(0.3386480448096616), np.float64(0.6468888732787924), np.float64(0.6948639729260562), np.float64(0.7381985717985815)]","[0.16684541272706327, 1.4160764442851774]",-37.756343841552734,0.156,3269.8210026908123,171.66458637222945,0.0,0
46,"[np.float64(0.8492845872814717), np.float64(0.28834976811030466), np.float64(0.8248313523805849), np.float64(0.021192485967230446), np.float64(0.061240492509463396), np.float64(0.5531682306732453), np.float64(0.7934942679678835), np.float64(0.9798728902634072), np.float64(0.5070309916890025), np.float64(0.4962855255378299)]","[0.6855269659327039, 1.0204341015164433]",-56.664669036865234,1.0,2409.0532388967085,182.89312856107813,0.0,0
47,"[np.float64(0.05477773151648058), np.float64(0.814875769004492), np.float64(0.8403441120952171), np.float64(0.7190678932403167), np.float64(0.1553350153203754), np.float64(0.6875309763287046), np.float64(0.06616501173567246), np.float64(0.0917059998972154), np.float64(0.3540492720501769), np.float64(0.7495544943556894)]","[0.9079598269290924, 1.027237995101638]",-42.88298416137695,1.0,3051.732961621373,191.88546680124455,0.0,0
48,"[np.float64(0.6054066424867802), np.float64(0.1389448567745346), np.float64(0.6115741323879332), np.float64(0.697612695599998), np.float64(0.7824753772428598), np.float64(0.28272518566029703), np.float64(0.6861051196814519), np.float64(0.24729102823595994), np.float64(0.12788775515923678), np.float64(0.385581443709322)]","[0.9232750569624535, 1.0638945241420816]",-38.13225555419922,0.558,2828.926294331704,192.05577657721193,0.0,0
49,"[np.float64(0.5329964905168298), np.float64(0.9523085496828213), np.float64(0.7768585578074371), np.float64(0.365580543517224), np.float64(0.7741195095586619), np.float64(0.30174696680193824), np.float64(0.2788153200698916), np.float64(0.5718454658466616), np.float64(0.37478364972859823), np.float64(0.5888790694642251)]","[0.9591271980466012, 1.0618171394810878]",-41.67155075073242,0.063,2355.2782832422663,223.24625219508076,0.0,0
50,"[np.float64(0.17893481367543618), np.float64(0.4672684011434851), np.float64(0.9051438366771739), np.float64(0.652784802685132), np.float64(0.9669622001623905), np.float64(0.6399131657151546), np.float64(0.37050052710804804), np.float64(0.17735319182304865), np.float64(0.29830276735556926), np.float64(0.9198501605372782)]","[0.7049563686092548, 1.0134588342744346]",-29.322736740112305,0.374,2994.833108214056,-79.77996047064914,0.0,1
51,"[np.float64(0.5771775044961992), np.float64(0.5193842211443356), np.float64(0.49995502241119394), np.float64(0.9047040725533528), np.float64(0.05873521751558297), np.float64(0.4162706429924663), np.float64(0.32654466381127), np.float64(0.09344593349461805), np.float64(0.9897361675845034), np.float64(0.3582312185913814)]","[0.16519817849612406, 1.3738856617154276]",-44.68206787109375,1.0,3826.810232413969,74.12217734375517,0.0,0
52,"[np.float64(0.6220697409528387), np.float64(0.43974028393442544), np.float64(0.6442476693303388), np.float64(0.5149392859956807), np.float64(0.8756598515631787), np.float64(0.739900702350839), np.float64(0.7854340014599015), np.float64(0.2005303566832357), np.float64(0.01645945948648464), np.float64(0.5424458861963711)]","[0.06928054281514673, 1.4066383891242173]",-26.09162139892578,0.026,3117.3411271016416,-61.211881965937664,0.0,1
