eval_id,x,hub,f1,f2,f3,g1,g2,g3,feasible
66,"[0.5542825390272328, 0.24062604181377323, 0.36528505670346056, 0.96536926984468, 0.12046907762387415, 0.4381450103309691, 0.7813658931947177, 0.043090690634595696, 0.03046480812489505, 0.46581253099537934]","[0.6423134569639611, 1.0768760939477686]",-48.83353042602539,0.02,3813.1700574173274,-310.7544861799364,2.0,0.0,0
67,"[0.20785494157193374, 0.5675652419333407, 0.9363122242578448, 0.8533136562599993, 0.8114328725032335, 0.3351350375860954, 0.9578419522589532, 0.07389597584523522, 0.16782365513224518, 0.2963472178481993]","[0.6423134569639611, 1.0768760939477686]",-41.63924026489258,0.01,2851.4968203488625,43.09507077192737,4.0,0.0,0
68,"[0.7178343572828981, 0.850551259756355, 0.2754808528630017, 0.7392607956370342, 0.6629613377688489, 0.7187932050275267, 0.9796258488514935, 0.6283084586743911, 0.07962933757560675, 0.32151551530824796]","[0.6423134569639611, 1.0768760939477686]",-53.595947265625,0.0,2714.4400545057983,-170.72017157700702,1.0,0.0,0
69,"[0.16146904266095086, 0.46188359707756765, 0.6419175904033568, 0.9051507074391362, 0.28879164900942544, 0.5494715578347591, 0.5770798329599061, 0.49866886134850175, 0.17791419839100442, 0.35622164118008504]","[0.6423134569639611, 1.0768760939477686]",-34.25837707519531,0.01,2757.8117809691385,-75.27726953416715,1.0,0.0,0
70,"[0.774382020078661, 0.2064226800628115, 0.7715370379067442, 0.07837290492218618, 0.8953850271326209, 0.6520981168659544, 0.7444418905939161, 0.7702414655724522, 0.21213914882577256, 0.8794320598717107]","[0.6423134569639611, 1.0768760939477686]",-42.62029266357422,0.02,2833.216705598921,55.03930560159341,2.0,0.0,0
71,"[0.20557265759667276, 0.26268325844768114, 0.02094484416240605, 0.27068090144591017, 0.5879702166328254, 0.5513756583147158, 0.41628477156613086, 0.28176023673675177, 0.9191304909520741, 0.1775164934316158]","[0.6423134569639611, 1.0768760939477686]",-39.23221206665039,0.07,2673.351073874237,7.557674429773186,2.0,0.0,0
72,"[0.4275645425413398, 0.6373601174260564, 0.42099270734434335, 0.5749995088018878, 0.5529869643862163, 0.49293616218995406, 0.5324478498483587, 0.3107930117753044, 0.9758320136707291, 0.8870121467184444]","[0.6423134569639611, 1.0768760939477686]",-21.458051681518555,0.01,1621.8674517239035,99.48995108251174,3.0,0.0,0
73,"[0.015272435183649069, 0.8647679793230478, 0.4875580786370386, 0.29526571288950065, 0.3657350555800003, 0.2030974028229966, 0.5694728969947693, 0.36880428868132864, 0.6788297965535495, 0.43523470740661496]","[0.6423134569639611, 1.0768760939477686]",-44.21868133544922,0.01,2946.755654057053,20.738577437012736,1.0,0.0,0
74,"[0.7768482879275864, 0.9936568534146455, 0.1381690550005069, 0.49465670555808827, 0.11771307998234448, 0.9461829725207951, 0.4849152370071329, 0.024923602435105274, 0.0763549914853281, 0.23483907948984994]","[0.6423134569639611, 1.0768760939477686]",-37.90608215332031,0.0,3188.7237762510704,-99.51286038756263,4.0,0.0,0
75,"[0.9919930979414978, 0.11013211899741604, 0.6220697409528387, 0.3547334554703645, 0.9761006353570684, 0.16222855752056586, 0.9159237744769517, 0.739900702350839, 0.9338325089891943, 0.5584557017778705]","[0.6423134569639611, 1.0768760939477686]",-30.92024040222168,0.43,2818.4419864311744,-156.75601786757983,4.0,0.0,0
