eval_id,x,order,f1,f2,f3,g1,g2,feasible
34,"[0.5022368179873682, 0.4695933010454594, 0.4507286105803868, 0.8625261585420376, 0.32255799311408784, 0.7794013008687497, 0.4891745349327379, 0.41057406149756104, 0.5907930636462942, 0.8314445012363447]","[5, 2, 1, 3, 4, [1.0436763883186568, 1.1596568472822597]]",-24.017357,0.097,3797.9338886686696,117.2803291912866,0,0
35,"[0.8220347214979805, 0.996004170845713, 0.9781951518128351, 0.1954125925162551, 0.23745342524430213, 0.5256615982460798, 0.19016054989204956, 0.02837491089994526, 0.652542735634382, 0.10517888428198874]","[4, 3, 5, 1, 2, [1.1013862221021335, 1.0174856750146868]]",-41.65082,0.314,6367.628686596228,-19.268749022088684,0,1
36,"[0.7622660918550728, 0.5808793970183292, 0.500901665110363, 0.7421321521510283, 0.6181185387418575, 0.4153470245095373, 0.28233201005844133, 0.08414353633736427, 0.42046081432115856, 0.4751139112619144]","[4, 3, 1, 2, 5, [1.367727140787398, 1.4070843393864867]]",-2.1520329,0.011,4042.1531989271007,217.37832471801622,1,0
37,"[0.6670903149544287, 0.8460902272380628, 0.4436520404672455, 0.935516485985802, 0.5723771780849061, 0.22113487024613254, 0.9985120374302366, 0.532947894787474, 0.10863528362223085, 0.1363516592584837]","[1, 3, 4, 5, 2, [1.1955322060777807, 1.3650678630710789]]",-31.452517,0.025,5936.693247369523,40.14019318824057,1,0
38,"[0.9109476883243178, 0.699230711640304, 0.8162442587265952, 0.9751763780359989, 0.22932987840006858, 0.5306523431713365, 0.6836506229750333, 0.049440792777854625, 0.9628048954246609, 0.6557025882488713]","[1, 5, 4, 2, 3, [1.326802159394681, 1.2791566706240014]]",-38.975513,0.227,5655.433118905518,-183.35166881657614,1,0
39,"[0.9459628039798847, 0.567600634316065, 0.12355474968920555, 0.5698284768361692, 0.13312481392978037, 0.6777244127926523, 0.7677446222319932, 0.36111353761714715, 0.3735776782109058, 0.483387376631646]","[3, 2, 5, 1, 4, [1.0366801407437243, 1.0760521494965563]]",-12.658811,0.652,6000.832691100291,47.58907815614393,1,0
40,"[0.6152418090449423, 0.00782358900562008, 0.2951755952922135, 0.9041625002197081, 0.7702750657866079, 0.7402647424522915, 0.5126008734775249, 0.2709052018342373, 0.9400157068220605, 0.4861514439790028]","[3, 2, 5, 1, 4, [1.421368528889509, 1.2978225147572613]]",-37.769253,1.0,5518.9634663462675,-244.11576546703634,2,0
41,"[0.14208611270381122, 0.8209673207984286, 0.3752058751037456, 0.8806293586686493, 0.36094303282211415, 0.9253941462299724, 0.23594658017365766, 0.0005766594430208771, 0.5225962280676564, 0.8339414742709251]","[4, 3, 2, 5, 1, [1.0548684462661135, 1.112214898339973]]",-40.473087,0.538,4728.585835921795,-143.32271437006824,0,1
42,"[0.007981664926050458, 0.046048656989781445, 0.6170688532402122, 0.6203432744066556, 0.7589190082615759, 0.133801456242986, 0.8099053335689337, 0.19586862478954936, 0.6894622145580742, 0.9726623303866143]","[4, 2, 1, 5, 3, [1.420598293325813, 1.4741076696896187]]",-48.845184,1.0,7166.97097464648,-273.4721462061957,2,0
43,"[0.9759271058654916, 0.9075982190025135, 0.2133294236128036, 0.6174294268108231, 0.5044779193775739, 0.9641256120575072, 0.7086508349742471, 0.08838179260990353, 0.7763007684208882, 0.8362412497295253]","[5, 3, 4, 2, 1, [1.1402665270855867, 1.0452046355198574]]",-38.248745,0.265,4719.977853167309,38.88437336022591,1,0
